id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67162.0,1323886730878,1,1410388904663.0,23541463344.0,68507.0,66426.0,-1344.7661213787069,-1.96297,-13884940577.466797,-1.03792,19712025.0,21000000.0,21000000.0,73738.0,-8.83936,2024-03-14T07:10:36.635Z,67.81,99031.34788,2013-07-06T00:00:00.000Z,,2024-06-14T12:33:01.822Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3518.95,422783209892,2,422783209892.0,13634176797.0,3531.11,3434.52,-12.159907313492113,-0.34437,1913985773.0,0.45477,120151113.78671,120151113.78671,,4878.26,-27.78349,2021-11-10T14:24:19.604Z,0.432979,813544.6553,2015-10-20T00:00:00.000Z,"{'times': 69.05037165732348, 'currency': 'btc', 'percentage': 6905.037165732348}",2024-06-14T12:32:58.339Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.99866,112514547533,3,112514547533.0,44856433290.0,1.002,0.997797,0.00080904,0.08108,-57455270.45713806,-0.05104,112559449770.646,112559449770.646,,1.32,-24.42578,2018-07-24T00:00:00.000Z,0.572521,74.65192,2015-03-02T00:00:00.000Z,,2024-06-14T12:31:26.129Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,611.55,94062366785,4,94062366785.0,949874290.0,612.4,595.5,2.04,0.3344,993624461.0,1.06762,153856150.0,153856150.0,200000000.0,717.48,-14.68588,2024-06-06T14:10:59.816Z,0.0398177,1537175.64781,2017-10-19T00:00:00.000Z,,2024-06-14T12:32:53.225Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1696504756,148.74,68589356008,5,85899126240.0,2154849208.0,152.47,146.31,-3.7298135780972927,-2.44628,-919298694.0223923,-1.32257,461659907.581097,578168173.452924,,259.96,-42.79827,2021-11-06T21:54:35.825Z,0.500801,29592.65722,2020-05-11T19:35:23.449Z,,2024-06-14T12:32:52.342Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3519.32,33550260611,6,33550260611.0,94639856.0,3525.63,3437.16,6.86,0.19526,217606830.0,0.65283,9539662.53215772,9539662.53215772,,4829.57,-27.10023,2021-11-10T14:40:47.256Z,482.9,629.08951,2020-12-22T04:08:21.854Z,,2024-06-14T12:32:26.022Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999649,32468148756,7,32469341332.0,6202873269.0,1.002,0.997704,-5.9515448232017e-05,-0.00595,1873735.0,0.00577,32489231401.1952,32490424751.7952,,1.17,-14.61339,2019-05-08T00:40:28.300Z,0.877647,14.09308,2023-03-11T08:02:13.981Z,,2024-06-14T12:32:56.071Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.478557,26587209164,8,47838172433.0,929978005.0,0.489532,0.475692,-0.01097512017315866,-2.24196,-358611874.835762,-1.33086,55570463728.0,99987531962.0,100000000000.0,3.4,-85.89538,2018-01-07T00:00:00.000Z,0.00268621,17744.44051,2014-05-22T00:00:00.000Z,,2024-06-14T12:32:56.846Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.14244,20604342359,9,20607590752.0,700091668.0,0.145121,0.140568,-0.002570280671987196,-1.77249,-254884941.98349,-1.22193,144682346383.705,144705156383.705,,0.731578,-80.49933,2021-05-08T05:08:23.458Z,8.69e-05,164061.66238,2015-05-06T00:00:00.000Z,,2024-06-14T12:32:52.753Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,8.09,19689263079,10,41335942675.0,758122691.0,8.13,7.34,0.46188,6.05354,1258466655.0,6.82806,2432852207.47332,5107567458.42326,,8.13,-0.10728,2024-06-14T12:16:40.991Z,0.519364,1463.93025,2021-09-21T00:33:11.092Z,,2024-06-14T12:32:53.803Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.422952,14963778100,11,19020361127.0,326546600.0,0.433171,0.419151,-0.010218351232254563,-2.35897,-266011371.02208328,-1.74665,35402588310.7697,45000000000.0,45000000000.0,3.09,-86.27184,2021-09-02T06:00:10.474Z,0.01925275,2101.12047,2020-03-13T02:22:55.044Z,,2024-06-14T12:33:00.677Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,2.171e-05,12791892664,12,21707925397.0,328896083.0,2.188e-05,2.104e-05,-9.2025806231e-08,-0.42214,95495367.0,0.75215,589262525738698.4,999982354737221.0,,8.616e-05,-74.71352,2021-10-28T03:54:55.568Z,5.6366e-11,38651527.19096,2020-11-28T11:26:25.838Z,,2024-06-14T12:32:54.062Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,31.71,12459307239,13,14022548735.0,334252932.0,32.31,30.96,-0.5924249643759083,-1.83372,-146180208.90032005,-1.15966,393299171.309966,442645541.309966,720000000.0,144.96,-78.05259,2021-11-21T14:18:56.538Z,2.8,1035.82636,2020-12-31T13:15:21.540Z,,2024-06-14T12:33:08.114Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,67137.0,10273495030,14,10273495030.0,185452357.0,68204.0,66555.0,-799.7817284077901,-1.17725,-91101942.88146973,-0.87897,153024.10916775,153024.10916775,153024.10916775,73505.0,-8.59444,2024-03-14T07:10:23.403Z,3139.17,2040.31233,2019-04-02T00:00:00.000Z,,2024-06-14T12:32:59.372Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.116131,10130142582,15,10130130223.0,300663855.0,0.117229,0.115668,-0.001097631055527099,-0.93632,-38373625.98929024,-0.37738,87291129201.0738,87291022703.3211,,0.231673,-49.81089,2018-01-05T00:00:00.000Z,0.00180434,6344.15125,2017-11-12T00:00:00.000Z,"{'times': 60.121584371437635, 'currency': 'usd', 'percentage': 6012.158437143763}",2024-06-14T12:33:14.176Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,15.4,9045560410,16,15407189323.0,347067939.0,15.58,15.08,-0.10151079572684019,-0.65469,27879995.0,0.30917,587099971.3083414,1000000000.0,1000000000.0,52.7,-70.70462,2021-05-10T00:13:57.214Z,0.148183,10317.96207,2017-11-29T00:00:00.000Z,,2024-06-14T12:32:55.630Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,6.39,8786017491,17,9302951926.0,188299705.0,6.58,6.31,-0.1890948074225287,-2.87499,-159519705.75287056,-1.78323,1375797777.38335,1456744264.02735,,54.98,-88.36152,2021-11-04T14:10:09.301Z,2.7,137.22143,2020-08-20T05:48:11.359Z,,2024-06-14T12:32:52.508Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,437.56,8622930073,18,9182979834.0,254949063.0,452.17,428.98,-10.242413263174683,-2.28728,-165463302.3257866,-1.88275,19719256.1466508,21000000.0,21000000.0,3785.82,-88.42575,2017-12-20T00:00:00.000Z,76.93,469.54735,2018-12-16T00:00:00.000Z,,2024-06-14T12:33:03.921Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,10.82,8145650509,19,10806594223.0,344823817.0,10.84,9.8,0.794624,7.92721,593394557.0,7.85718,753766667.0,1000000000.0,1000000000.0,44.92,-75.88701,2021-05-03T05:25:04.822Z,1.03,951.38752,2020-09-17T01:20:38.214Z,,2024-06-14T12:32:59.431Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,5.99,6512809902,20,7081394492.0,299479003.0,6.3,5.82,-0.31058651984726016,-4.92846,-260613530.00466824,-3.84759,1088240089.6863,1183246170.6779,,20.44,-70.64116,2022-01-16T22:09:45.873Z,0.526762,1039.10827,2020-11-04T16:09:15.137Z,,2024-06-14T12:33:04.450Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,79.75,5947163986,21,6692842044.0,350879465.0,79.97,77.92,0.193933,0.24376,45790923.0,0.77594,74641201.9834713,84000000.0,84000000.0,410.26,-80.53893,2021-05-10T03:13:07.904Z,1.15,6849.68726,2015-01-14T00:00:00.000Z,,2024-06-14T12:33:08.105Z
matic-network,matic,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.608956,5650335610,22,6086793019.0,301758305.0,0.631395,0.601379,-0.022438564015647366,-3.55381,-155891947.88221264,-2.68491,9282943566.203985,10000000000.0,10000000000.0,2.92,-79.07516,2021-12-27T02:08:34.307Z,0.00314376,19310.62036,2019-05-10T00:00:00.000Z,"{'times': 230.5423826911176, 'currency': 'usd', 'percentage': 23054.23826911176}",2024-06-14T12:33:09.480Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3653.5,5410324980,23,5410324980.0,22381676.0,3662.9,3577.08,9.36,0.2568,52433325.0,0.97862,1478690.03248973,1478690.03248973,,4196.87,-12.80862,2024-03-13T08:29:59.938Z,2231.18,64.0082,2024-01-08T03:35:28.624Z,,2024-06-14T12:32:44.094Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.998016,5206281610,24,5206281610.0,349865184.0,1.007,0.99745,-0.00900975004197724,-0.89469,-77545386.85541248,-1.4676,5216633163.86437,5216633163.86437,,1.22,-17.93126,2020-03-13T03:02:50.373Z,0.88196,13.42477,2023-03-11T07:50:50.514Z,,2024-06-14T12:31:21.624Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.58,5165937028,25,5495149038.0,2083067.0,5.61,5.52,-0.03650972874265079,-0.65023,-10014716.60081482,-0.19349,926214229.9,985239504.0,,8.14,-31.27409,2022-02-08T17:40:10.285Z,0.799859,599.00915,2019-12-24T15:14:35.376Z,,2024-06-14T12:32:55.838Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.21e-05,5093636453,26,5093636453.0,761816444.0,1.251e-05,1.166e-05,-4.1377607397e-07,-3.30721,-105089408.37579155,-2.02145,420690000000000.0,420690000000000.0,420690000000000.0,1.717e-05,-29.42474,2024-05-27T08:30:07.709Z,5.5142e-08,21870.51287,2023-04-18T02:14:41.591Z,,2024-06-14T12:32:50.525Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,9.82,4567953002,27,5104289133.0,110873272.0,10.07,9.67,-0.25254905432083063,-2.50715,-42984723.61870766,-0.93223,465235096.587404,519859649.77438,,700.65,-98.59389,2021-05-10T16:05:53.653Z,2.87,243.86686,2023-09-22T00:29:57.369Z,,2024-06-14T12:32:52.961Z
fetch-ai,fet,Fetch.ai,https://coin-images.coingecko.com/coins/images/5681/large/Fetch.jpg?1696506140,1.59,4011891576,28,4186203145.0,158390575.0,1.69,1.57,-0.09439947279374385,-5.60166,-176860730.31412077,-4.22228,2521012371.0,2630547141.0,2630547141.0,3.45,-53.68252,2024-03-28T17:21:18.050Z,0.00816959,19483.28406,2020-03-13T02:24:18.347Z,"{'times': 17.348388519958537, 'currency': 'usd', 'percentage': 1734.8388519958535}",2024-06-14T12:32:54.918Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.166198,3973110476,29,3975623491.0,51422610.0,0.171745,0.162635,-0.005546816247901543,-3.22969,-89259714.42549229,-2.19723,23905911626.3863,23921032251.97,28704026601.0,0.19164,-13.15613,2024-06-05T12:00:21.573Z,0.00017105,97197.94216,2022-05-26T14:42:59.316Z,,2024-06-14T12:33:09.323Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,25.61,3775851238,30,5393115502.0,113073742.0,25.78,25.13,-0.17051714007205732,-0.66144,4487074.0,0.11898,147516190.881006,210700000.0,210700000.0,167.09,-84.65564,2021-05-06T18:34:22.133Z,0.615038,4068.5533,2016-07-25T00:00:00.000Z,"{'times': 55.90931468044589, 'currency': 'usd', 'percentage': 5590.931468044589}",2024-06-14T12:33:08.423Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,8.06,3637523086,31,8893212043.0,162994420.0,8.11,7.81,-0.04599328179080154,-0.56718,45596815.0,1.26943,450267467.262294,1100838116.45097,,19.92,-59.45443,2023-01-26T14:25:17.390Z,3.08,162.25243,2022-12-29T21:35:14.796Z,,2024-06-14T12:33:13.621Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,0.999916,3519496853,32,3520096600.0,125170443.0,1.008,0.998019,-0.008057733066934136,-0.7994,37239474.0,1.06941,3517719379.95905,3518318824.23975,,1.032,-3.04744,2023-12-20T15:38:34.596Z,0.965354,3.65418,2024-04-13T20:11:19.603Z,,2024-06-14T12:33:11.101Z
renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,3497.54,3488818209,33,3499456748.0,29768803.0,3516.1,3433.9,11.01,0.31584,15612725.0,0.44952,996928.060599325,999968.017915635,,4106.74,-14.77095,2024-03-12T00:44:29.429Z,2198.04,59.23905,2024-01-26T08:09:59.848Z,,2024-06-14T12:31:24.017Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,175.3,3229382599,34,,85534249.0,178.65,168.51,-1.415060789320023,-0.80076,-19823207.685904026,-0.61009,18445342.6021475,18444108.0,,542.33,-67.69222,2018-01-09T00:00:00.000Z,0.216177,80950.98374,2015-01-14T00:00:00.000Z,,2024-06-14T12:32:51.777Z
render-token,rndr,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,8.29,3219863611,35,4408128476.0,169455404.0,8.83,8.17,-0.5429829010201619,-6.14806,-167200759.7597108,-4.93645,388646672.474413,532073612.754413,532073612.754413,13.53,-38.73823,2024-03-17T16:30:24.636Z,0.03665669,22519.58735,2020-06-16T13:22:25.900Z,,2024-06-14T12:33:14.306Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.089788,3208252141,36,4486856496.0,56980808.0,0.09126,0.087338,-0.001471713319973339,-1.61266,-17466468.08194828,-0.54148,35751668714.3827,50000000000.0,50000000000.0,0.569229,-84.18686,2021-09-15T10:40:28.318Z,0.00986111,812.80761,2020-01-02T17:30:24.852Z,,2024-06-14T12:33:04.602Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,5.43,3052940700,37,10623198728.0,146385443.0,5.49,5.32,-0.062268877037954695,-1.13477,499149.0,0.01635,563327777.0,1960189703.0,1960189712.0,236.84,-97.70902,2021-04-01T13:29:41.564Z,2.64,105.45362,2022-12-16T22:45:28.552Z,,2024-06-14T12:33:13.607Z
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,2.05,3008006387,38,3727680503.0,105744555.0,2.35,2.03,-0.30361951464860804,-12.90715,-418943885.1543822,-12.22498,1467012960.77728,1818000000.0,1818000000.0,3.86,-46.4748,2024-04-01T12:34:58.342Z,0.04559639,4436.29333,2020-03-13T02:29:26.415Z,"{'times': 16.072636009930875, 'currency': 'usd', 'percentage': 1607.2636009930875}",2024-06-14T12:32:57.308Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.896356,2925377141,40,5573341113.0,158342274.0,0.902215,0.874582,-0.000508711400576623,-0.05672,103648.0,0.00354,3264441707.83684,6219316794.99,6219316794.99,1.54,-41.70589,2024-04-08T09:45:25.482Z,0.307978,191.24826,2023-10-18T02:50:46.942Z,,2024-06-14T12:33:14.132Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,7.48,2922964532,39,2924772569.0,167197531.0,7.67,7.38,-0.1892291417848062,-2.46602,-47568326.361356735,-1.60134,390688369.813272,390930035.085365,,44.45,-83.14019,2022-01-17T00:34:41.497Z,1.16,545.98914,2020-03-13T02:27:44.591Z,"{'times': 73.84233062890655, 'currency': 'usd', 'percentage': 7384.233062890655}",2024-06-14T12:33:00.010Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.098268,2854601588,41,4909198078.0,44164112.0,0.100135,0.097295,-0.001866774295713233,-1.86426,-26582360.177122593,-0.92262,29075050186.6783,50001786967.3715,50001786967.3715,0.875563,-88.76645,2018-01-03T00:00:00.000Z,0.00047612,20557.83207,2015-03-05T00:00:00.000Z,,2024-06-14T12:33:13.397Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,46.28,2775202976,42,10913841173.0,6569534.0,47.05,45.39,-0.7678036819633789,-1.63187,-37630509.052512646,-1.33782,60000000.0,235957685.3,300000000.0,73.8,-37.2635,2024-03-14T00:30:12.502Z,0.580608,7874.68068,2019-01-14T00:00:00.000Z,,2024-06-14T12:32:57.597Z
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,0.948177,2743804712,44,9473023437.0,229555182.0,0.953675,0.924272,-0.005498129696873245,-0.57652,11493837.0,0.42066,2896440329.0,10000000000.0,10000000000.0,2.39,-60.25641,2024-01-12T12:29:59.231Z,0.744925,27.52751,2023-09-11T19:40:49.196Z,,2024-06-14T12:33:10.788Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.102362,2742671567,45,3069102080.0,8966071.0,0.102793,0.099451,-0.000206247657099423,-0.20108,13332131.0,0.48847,26809192021.1761,30000000000.0,,0.965407,-89.40097,2021-11-24T15:53:54.855Z,0.0121196,744.2834,2019-02-08T00:00:00.000Z,,2024-06-14T12:33:15.439Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,28.19,2738284997,43,2818551065.0,267493237.0,31.27,27.7,-2.630005739554658,-8.53333,-194839741.50981903,-6.64274,97152222.33,100000000.0,,52.62,-46.13591,2024-03-14T15:06:22.124Z,0.657401,4211.47119,2020-11-03T16:19:30.576Z,,2024-06-14T12:32:58.520Z
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.81,2722056360,46,3610452188.0,59309874.0,1.88,1.78,-0.07503372893409788,-3.98999,-29681350.692993164,-1.07864,1507875589.3898141,2000000000.0,2000000000.0,9.52,-80.98924,2021-11-26T01:03:01.536Z,0.378055,378.71698,2022-12-31T07:36:37.649Z,,2024-06-14T12:32:58.806Z
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,2568379800,47,2568379800.0,5241815419.0,1.003,0.988841,0.00109014,0.10913,-177688893.94615698,-6.47066,2565322770.3,2565322770.3,,1.089,-8.01408,2024-05-20T19:42:15.377Z,0.942129,6.28231,2023-08-17T21:55:41.478Z,,2024-06-14T12:32:37.109Z
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,2.47,2477978992,48,2477978992.0,498836553.0,2.55,2.36,-0.07683062990074374,-3.01431,-44726291.68632412,-1.77295,998926392.0,998926392.0,998926392.0,4.83,-48.61303,2024-03-31T09:34:58.366Z,0.00155464,159400.56221,2023-12-13T07:13:50.873Z,,2024-06-14T12:32:59.438Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.999169,2428959677,49,10011606058.0,169510505.0,1.01,0.95535,-0.004523963178617141,-0.45073,23254434.0,0.96664,2426143880.70889,10000000000.0,10000000000.0,2.17,-53.93685,2024-03-27T17:46:02.608Z,0.364846,174.10487,2023-10-19T10:40:30.078Z,,2024-06-14T12:33:12.371Z
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.247374,2351300087,50,2667304317.0,85066058.0,0.25533,0.240956,-0.007956543382001082,-3.11618,-50294592.68778658,-2.09422,9509914309.91708,10788004319.0,10788004319.0,2.84,-91.26027,2021-02-12T07:28:45.775Z,0.052051,377.10851,2022-11-22T10:05:03.503Z,,2024-06-14T12:33:14.007Z
